Site	AirTemp	WaterTemp	Crabs
Pochet	22.5	20.0	287
Priscilla	17.0	18.0	257
Marsh	15.0	18.0	233
Marsh	18.0	21.0	228
Priscilla	17.5	18.0	200
Marsh	18.5	26.0	178
Pochet	20.0	20.0	151
Priscilla	23.0	17.0	110
Priscilla	17.8	19.4	103
Ericas	17.0	20.0	91
Ericas	13.0	21.0	91
Pochet	18.5	24.0	74
Pochet	22.0	24.0	71
Marsh	21.0	25.0	61
Marsh	25.5	23.0	56
Marsh	21.5	20.0	51
Marsh	25.0	25.0	51
Ericas	18.0	20.0	50
Indian_Neck	12.2	16.0	49
Pochet	14.5	17.0	49
Pochet	25.0	21.0	45
Indian_Neck	13.0	18.0	41
Priscilla	20.0	22.0	41
Priscilla	20.0	22.5	32
Ericas	18.0	20.0	30
Priscilla	18.0	17.0	26
Indian_Neck	15.6	20.0	24
Indian_Neck	8.0	18.0	18
Priscilla	23.0	18.5	16
Ericas	18.0	17.0	15
Pochet	15.0	10.0	14
Sanctuary	17.0	19.0	12
Sanctuary	22.0	18.0	11
Ericas	25.0	25.0	10
Indian_Neck	14.0	18.0	10
Great_Island	11.5	18.5	9
Ericas	24.0	26.0	8
Pochet	25.0	24.0	8
Ericas	18.5	17.0	6
Indian_Neck	17.8	19.0	6
Indian_Neck	19.4	22.0	6
Ericas	27.0	28.0	5
Sanctuary	17.5	15.5	4
Sanctuary	19.5	18.0	4
Ericas	20.0	24.0	3
Great_Island	15.0	17.5	3
Indian_Neck	12.8	21.0	3
Indian_Neck	21.1	22.0	3
Pochet	21.5	25.0	3
Pochet	24.0	26.0	3
Great_Island	17.0	17.5	2
Great_Island	22.0	21.0	2
Indian_Neck	6.0	14.0	2
Indian_Neck	15.0	19.5	2
Indian_Neck	15.4	21.0	2
Indian_Neck	25.0	21.0	2
Marsh	12.0	18.0	2
Priscilla	12.5	13.5	2
Great_Island	15.5	18.8	1
Sanctuary	21.0	20.0	1
Sanctuary	21.0	21.0	1
Ericas	15.0	13.0	0
Ericas	11.0	16.0	0
Great_Island	14.0	11.0	0
Great_Island	17.0	13.0	0
Great_Island	18.0	14.0	0
Great_Island	13.8	18.0	0
Great_Island	18.0	21.0	0
Great_Island	17.0	23.0	0
Indian_Neck	10.0	6.0	0
Indian_Neck	6.1	10.0	0
Indian_Neck	6.0	11.0	0
Indian_Neck	8.0	14.0	0
Indian_Neck	12.8	15.0	0
Indian_Neck	8.0	16.0	0
Indian_Neck	10.0	18.0	0
Indian_Neck	16.0	20.0	0
Indian_Neck	20.0	23.0	0
Pochet	11.5	11.0	0
Priscilla	7.8	10.6	0
Priscilla	15.0	13.0	0
Sanctuary	11.5	1.5	0
Sanctuary	7.0	11.0	0
Sanctuary	16.5	15.0	0
Sanctuary	25.0	22.0	0
Sanctuary	20.0	24.0	0
Sanctuary	19.0	24.5	0
